grade,semester,name,number,professor,process,credit,rating,contents,review
2,2,통계학응용,H040-2-9632,박규동,전선,3,4.5,"기적인 확률 및 통계에 대한 이론, R을 활용하여 통계분석","[저는 성적을 잘 못받았지만 교수님 강의력은 정말 좋으셨습니다. 이상하게 박 교수님 수업만 들으면 좋은 학점 받기가 쉽지않네요.. 그만큼 모든학생들이 열심히 공부한다는 뜻이라고 생각합니다.][명쾌한 이론과 적절한 실습의 완벽한 조화. 이 수업을 앞으로 더 들을 수 없는 후배들이 안타까울 따름입니다.... 하지만 학생들이 요청하면 계절로 열어주실 수 있다는 갓PKD],[3학년이 2학년 과목듣고 강의평 남기는 게 양심에 찔리지만... 시험문제 봤을 때 여러모로 2학년이라 순한맛(?)으로 내셨습니다 그래도 규동교수님 문제는 짜릿한 맛이 있네요☆ 이거 듣고 3학년 올라가시면 도움이 꽤 될거같아요 하지만 이 과목 못들어서 아쉬울 필요없을 것 같아요! 통계학개론과 실험설계및분석 내용이 적절히 섞여있어서 앞에 두과목에서 관련 내용들을 다 배우니깐요]"
2,2,데이터베이스,H040-2-3663,임동혁,전선,3,3.67,SQL,[음 양이 많았는지는 개인적으로 잘 모르겠습니다. 오히려 세세하게 설명해주시면서 진도를 천천히 나갔다고 느꼈습니다. 친절하게 가르쳐주셔서 무리없이 잘 따라갈 수 있었습니다. 다만 실습도 열심히 하시고 내용도 제대로 이해하셔야 시험 볼 때 당황하지 않습니다.]
2,2,자료구조,H040-2-1243,박재성,전필,3,4.57,"파이썬, 기본 자료구조인 배열, 스택, 큐, 트리, 그래프, 해쉬 테이블",[아래 모든 글처럼 교안도 영어고 강의시간도 길어서 따라가는게 꽤 힘들지만 확실히 배울 것도 많고 남는 것도 많습니다! 과제도 트리구현 빼고는 쉬웠고 트리도 개념 이해하시고 구글링 약간 해보면서 수정하면 어려운 난이도는 아니었어요! 평점은 저번 컴네도 그랬지만 최대한 후하게 주시는 것 같아요]
2,2,모바일프로그래밍,H040-2-6387,한진섭,전필,3,3.01,"JAVA기반, 안드로이드스튜디오","[저도 뭐 한진섭 교수님 수업 많이들어봤지만. 늘 시험문제가 좀 아쉽다고해야할까요. 물론 학생이 교수님의 시험문제를가지고 왈가왈부하는건 맞지않긴합니다. 그러나, 이번 금요일 2분반 중간고사 시험문제에 메서드 역할쓰는게 나왔는데, 그중에는 시험범위가 아닌 부분도 있었습니다. 사실 그리고 너무 암기식이라서 안드로이드를 제대로 배우는가에 대한 의문도있어요. 그래도 그나마 기말프로젝트로 대체해서 조금은 좋네요.]"
2,2,오픈소스소프트웨어,H040-2-8461,서두옥,전선,3,3.69,"리눅스 기반의 개방형OS에 대한 이해, 소프트웨어 개발 환경 및 방법, Git, GitHub","[진짜 공평하게 주심. 조별과제 있긴한데  개별 레포트도 중요함. 선배들도 진짜 공평하게 주신다고 말함. 근데 그 말에 동의함.],[진짜 완벽하게 했다고 생각했는데 도대체 평가기준을 모르겠음],[시험은 달달 암기하면 좋은 점수를 받을 수있다. 수업보다 팀플을 진행하면서 배운게 더 많은 수업이다.]"
2,2,인터랙티브심리학,H040-2-3689,김현경,전선,3,4.5,UX 디자인을 위한 심리학 학습,"[생각보다 꿀강의였다.. 내용도 재미있고 시험도 막 어렴지 않은편?],[시험이 쉽고 한 학기 동안 배우는 양이 좀 적어서 아쉬웠습니다.R로 하는 데이터 분석 과제가 나오는데 R을 처음 접해도 할 만했습니다! 교수님이 과제에 필요한 주요 사용법/설치법/함수를 알려주십니다]"
