grade,semester,name,number,professor,process,credit,rating,contents,review
3,2,소셜네트워크분석,,,전선,,,,
3,2,데이터애널리틱스,H040-3-3717,조민수,전선,3,4.33,"딥러닝, 프로세스마이닝, ANN, CNN, RNN 등의 개념 이해 및 구현","[데이터마이닝과는 또다른 내용을 배워서 흥미로웠습니다. 다만 팀플은 변별력이 없었던 것 같아요.],[시험이 너무 어려웠습니다,그래도 많은 것을 배워가서 좋았습니다.]"
3,2,빅데이터처리및응용,H040-3-8999,임동혁,전선,3,4,"빅데이터를 저장하고 처리, 검색하는 빅데이터 플랫폼의 기본 원리인 저장, 처리, 검색 플랫폼을 이해하고, 가장 대표적인 플랫폼 관계형 데이터베이스인 PostgreSQL, NoSQL 및 그래프 데이터베이스 Neo4J, 분산 병렬 플랫폼 Spark에 대해 학습하고 실습","[물론 2020년도 2학기 수업은 좋았습니다. 그러나 2021년도 1학기 다른 수업을 수강해보니 점차 교수님의 열정이 떨어지심을 느꼈습니다. 나쁜 강의력은 아니시지만 교안 읽어주기 + 질문에 대한 답변 정도로 수업이 진행됩니다.], [진짜 갓동혁 교수님... 강의력이 대박 이렇게 알고리즘잘 설명해주시는분이 없다,전반적인 데이터처리(하둡 NoSQL NEO4J Spark)와 그래프 알고리즘을 알려주심 다만 과제가 살짝 빡쎔]"
3,2,IoT시스템설계,,,전선,,,,
3,2,웹서비스설계및구현(웹프로그래밍),H040-3-5409,박규동,전선,3,5,"Product-Market Fit 을 판단하기 위해 웹 기반의 MVP (최소기능제품)을 개발, 웹서비스를 개발하기 위해 필요한 이론/개념 및 프레임워크를 다룸, CRUD 및 Restful API의 개념을 익히고 python 과 javascript 기반의 프레임워크, 웹서비스의 개발스택(프런트, 백엔드) 별 설계 기법 학습","[웹 쪽에 관심이 있다면 듣는 거 추천. 진짜 도움 많이 됨. 수강하길 잘 한거 같음.],[소융대 다 합쳐서 웹 전체에 대해 이정도로 알차게 커버하는 수업은 유일한듯. 처음에 강의계획서보고 너무 얉고 넓게 하는거 아닌가 걱정했지만, 적절한 선에서 깊이도 나름 챙겨주셔서 많은 걸 얻어감. 실시간 줌 소통(필참 아님) 해주시고 소통 잘 되고 강의도 재미있음. 산업체 특강도 토크쇼(?) 느낌으로 진짜 유용했음.],[가장 도움이 많이된 강의 중 하나인듯.학점은 터질거같아서 미리 후기남김]"
3,2,컴퓨터그래픽스,H040-3-3951,김동준,전선,3,,몰입형 가상현실 기기(Head-Mounted VR Device)에서의 시스템 구현을 위한 이론 수업과 실습을 병행하여 VR 어플리케이션 구현 능력 배양,
3,2,HCI와UX평가,H0404-3-7740,김현경,전선,3,4.5,"다양한 종류의 인터랙션(감성/정보/인공지능 등) 별 특징을 학습, 인터페이스/인터랙션을 개발 및 평가, Human-AI(인공지능) 인터랙션에 대한 개념을 소개하고, 이를 평가하는 방법에 대해 학습","[인공지능컨셉에 관련한 팀플을 주제로 한학기 보냄 개발 할 줄 아는 사람이 팀원이여야함 팀플 잘했다고 무조건 에이쁠은 아닌듯 보고서같은거 꼼꼼히 잘 쓰길 바람],[팀플을 중요시하십니다. 영혼을 담아서 팀플을 진행한다면 좋은 학점을 받을수 있습니다. 학점은 매우 잘주시는 것 같습니다.],[팀플이 중요하고 시험은 외우면됩니다. 팀원 중 개발자 필수 입니다]"
3,2,가상현실,,,전선,,,,
